bucket,trades,wins,losses,winRate,expectancyR,totalR,pf
"10:30-11:59",66,23,43,34.8,-0.025,-1.68,0.96
"12:00-13:59",54,27,27,50,0.331,17.86,1.66
"15:00-15:59",38,16,22,42.1,0.017,0.64,1.03
"14:00-14:59",35,13,22,37.1,-0.171,-5.99,0.72
"09:30-10:29",41,19,22,46.3,0.119,4.86,1.23
