quality,trades,wins,losses,winRate,avgR,medianR,expectancyR,pf,avgWinner,avgLoser,avgHold
"Good",22,10,12,45.5,-0.014,-0.25,-0.014,0.97,1.09,-0.94,21
"Neutral",5,5,0,100,1.28,1.4,1.28,null,1.28,"",7
"Strong",1,1,0,100,1.27,1.27,1.27,null,1.27,"",10
