key,trades,wins,losses,winRate,expectancyR,pf
13:00,11,3,8,27.3,-0.095,0.87
14:00,20,4,16,20,-0.512,0.35
15:00,18,6,12,33.3,-0.374,0.44
11:00,12,5,7,41.7,0.313,1.54
10:00,17,9,8,52.9,0.505,2.21
12:00,10,4,6,40,0.21,1.35
09:00,1,0,1,0,-1,0
