date,trades,wins,losses,winRate,expectancyR,totalR,pf
"2026-09-01",43,16,27,37.2,-0.033,-1.4,0.95
"2026-09-03",40,17,23,42.5,0.107,4.29,1.19
"2026-08-28",26,10,16,38.5,-0.101,-2.62,0.82
"2026-08-31",53,23,30,43.4,0.14,7.43,1.27
"2026-09-04",34,14,20,41.2,0.056,1.92,1.1
"2026-09-02",36,17,19,47.2,0.193,6.94,1.37
"2026-08-27",2,1,1,50,-0.435,-0.87,0.13
