key,trades,wins,losses,winRate,expectancyR,pf
PULLBACK_CONTINUATION,868,308,560,35.5,-0.125,0.79
REVERSAL,31,13,18,41.9,0.044,1.08
STRUCTURAL_BASE,123,57,66,46.3,0.251,1.5
