symbol,date,source_rows,rth_bars,duplicates,missing_minutes,missing_list,malformed,ohlc_violations,zero_volume_rth,out_of_session,rows_1600,first,last,status
"BMY","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-01",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-02",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BRK-B","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"BRK-B","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BSX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BSX","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"BX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-02",390,390,0,0,"",0,0,6,0,0,"09:30","15:59","COMPLETE"
"BX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"BX","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"C","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"C","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"C","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CAT","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CAT","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CAT","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CB","2026-09-01",390,390,0,0,"",0,0,4,0,0,"09:30","15:59","COMPLETE"
"CB","2026-09-02",390,390,0,0,"",0,0,10,0,0,"09:30","15:59","COMPLETE"
"CB","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CB","2026-09-04",391,390,0,0,"",0,0,3,0,1,"09:30","16:00","COMPLETE"
"CME","2026-09-01",390,390,0,0,"",0,0,4,0,0,"09:30","15:59","COMPLETE"
"CME","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CME","2026-09-03",391,390,0,0,"",0,0,11,0,1,"09:30","16:00","COMPLETE"
"CME","2026-09-04",391,390,0,0,"",0,0,6,0,1,"09:30","16:00","COMPLETE"
"COP","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COP","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"COP","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"COST","2026-09-01",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"COST","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"COST","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"COST","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CRWD","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CRWD","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CRWD","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CSCO","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CSCO","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"CSCO","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"CVX","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"CVX","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"CVX","2026-09-04",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DE","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DE","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DE","2026-09-04",391,390,0,0,"",0,0,6,0,1,"09:30","16:00","COMPLETE"
"DELL","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-03",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"DELL","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"DIS","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DIS","2026-09-03",391,390,0,0,"",0,0,1,0,1,"09:30","16:00","COMPLETE"
"DIS","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"DUK","2026-09-01",390,390,0,0,"",0,0,2,0,0,"09:30","15:59","COMPLETE"
"DUK","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"DUK","2026-09-03",391,390,0,0,"",0,0,4,0,1,"09:30","16:00","COMPLETE"
"DUK","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"ELV","2026-09-01",390,390,0,0,"",0,0,12,0,0,"09:30","15:59","COMPLETE"
"ELV","2026-09-02",390,390,0,0,"",0,0,3,0,0,"09:30","15:59","COMPLETE"
"ELV","2026-09-03",391,390,0,0,"",0,0,13,0,1,"09:30","16:00","COMPLETE"
"ELV","2026-09-04",391,390,0,0,"",0,0,5,0,1,"09:30","16:00","COMPLETE"
"ETN","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ETN","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"ETN","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"ETN","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"FISV","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-03",390,390,0,0,"",0,0,5,0,0,"09:30","15:59","COMPLETE"
"FISV","2026-09-04",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"GE","2026-09-01",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
"GE","2026-09-02",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"GE","2026-09-03",391,390,0,0,"",0,0,2,0,1,"09:30","16:00","COMPLETE"
"GE","2026-09-04",391,390,0,0,"",0,0,0,0,1,"09:30","16:00","COMPLETE"
"GILD","2026-09-01",390,390,0,0,"",0,0,1,0,0,"09:30","15:59","COMPLETE"
"GILD","2026-09-02",390,390,0,0,"",0,0,0,0,0,"09:30","15:59","COMPLETE"
