quality,trades,wins,losses,winRate,expectancyR,totalR,pf
"Neutral",56,23,33,41.1,0.048,2.69,1.08
"Good",172,71,101,41.3,0.048,8.23,1.08
"Strong",5,4,1,80,1.154,5.77,6.77
"Weak",1,0,1,0,-1,-1,0
