key,trades,wins,losses,winRate,expectancyR,pf
2026-09-03,29,10,19,34.5,-0.044,0.93
2026-09-04,21,6,15,28.6,-0.301,0.58
2026-09-01,17,6,11,35.3,0.044,1.07
2026-09-02,22,9,13,40.9,0.105,1.19
