score,trades,wins,losses,winRate,expectancyR,totalR,pf
"score 8",19,9,10,47.4,0.158,3,1.3
"score 6",150,61,89,40.7,0.048,7.13,1.08
"score 7",65,28,37,43.1,0.086,5.56,1.16
