symbol,date,bars,quality,setups,uniqueReady,trades,wins,losses,expectancyR,pf,missed
"AMD","2026-09-02",390,"Weak",25,3,3,0,3,-1,0,2
"AMD","2026-09-03",390,"Good",37,3,3,1,2,-0.483,0.28,4
"NVDA","2026-09-02",390,"Strong",39,3,3,2,1,0.357,2.07,2
"NVDA","2026-09-03",390,"Neutral",32,2,2,0,2,-0.705,0,4
"TSLA","2026-09-02",390,"Good",29,4,4,3,1,0.118,1.47,6
"TSLA","2026-09-03",390,"Weak",44,4,4,1,3,-0.33,0.56,3
"MSFT","2026-09-02",390,"Neutral",43,4,4,0,4,-1,0,2
"MSFT","2026-09-03",390,"Neutral",18,0,0,0,0,"","",4
"AAPL","2026-09-02",390,"Weak",21,2,2,0,2,-1,0,3
"AAPL","2026-09-03",390,"Good",28,3,3,2,1,0.34,2.02,2
"META","2026-09-02",390,"Weak",31,5,5,0,5,-1,0,8
"META","2026-09-03",390,"Weak",22,1,1,0,1,-1,0,3
"AMZN","2026-09-02",390,"Weak",42,5,5,0,5,-0.836,0,1
"AMZN","2026-09-03",390,"Strong",35,2,2,0,2,-1,0,3
"GOOGL","2026-09-02",390,"Good",37,6,6,2,4,-0.373,0.44,3
"GOOGL","2026-09-03",390,"Weak",36,9,9,3,6,-0.282,0.58,2
"AVGO","2026-09-02",390,"Weak",44,5,5,2,3,-0.126,0.79,6
"AVGO","2026-09-03",390,"Good",42,7,7,5,2,0.959,4.35,5
"MU","2026-09-02",390,"Good",53,8,8,3,5,0.061,1.1,6
"MU","2026-09-03",390,"Strong",51,8,8,5,3,0.604,3.17,7
"PLTR","2026-09-02",390,"Weak",25,2,2,0,2,-0.71,0,6
"PLTR","2026-09-03",390,"Neutral",37,5,5,0,5,-0.744,0,3
"NFLX","2026-09-02",390,"Strong",43,8,8,6,2,0.55,4.41,3
"NFLX","2026-09-03",390,"Neutral",19,3,3,0,3,-1,0,3
"ORCL","2026-09-02",390,"Good",37,7,7,2,5,-0.374,0.48,8
"ORCL","2026-09-03",390,"Neutral",61,4,4,2,2,-0.133,0.73,7
"CRM","2026-09-02",390,"Weak",25,6,6,3,3,-0.145,0.71,5
"CRM","2026-09-03",390,"Weak",40,3,3,3,0,0.853,"inf",5
