symbol,date,status,reason,unique,expected,coverage,missing,first,last,missingSample
"MSFT","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"MSFT","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"MU","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"NFLX","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-08-26","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-08-27","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"NVDA","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"ORCL","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"PANW","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"PLTR","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-08-28","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-08-31","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-09-01","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-09-02","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-09-03","FULL","",390,390,100,0,"09:30","15:59",""
"QCOM","2026-09-04","FULL","",390,390,100,0,"09:30","15:59",""
