symbol,date,status,reason,expected,unique,coverage,missing,dupes,first,last,missingList,dupeList
"AMZN","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AMZN","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AMZN","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AMZN","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ANET","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APH","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-02","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-03","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-04","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"APP","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-02","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-03","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-04","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-09","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","13:41"
"ARM","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ARM","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-02","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-03","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-04","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"ASML","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AVGO","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"AXP","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BAC","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-08","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-09","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-10","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-11","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-14","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-15","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BKNG","2026-09-16","FULL","",390,390,100,0,0,"09:30","15:59","",""
"BLK","2026-09-08","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","11:49"
"BLK","2026-09-09","PARTIAL","2 duplicate timestamps",390,390,100,0,2,"09:30","15:59","","09:55 15:23"
"BLK","2026-09-10","PARTIAL","1 duplicate timestamps",390,390,100,0,1,"09:30","15:59","","12:25"
